date,10min,time,value
02.01.21  ,4,02:30:00,35.033
02.01.21  ,5,02:40:00,34.233
02.01.21  ,6,02:50:00,32.933
02.01.21  ,1,03:00:00,33.5
02.01.21  ,2,03:10:00,33.167
02.01.21  ,3,03:20:00,33.633
02.01.21  ,4,03:30:00,34.733
02.01.21  ,5,03:40:00,34.533
02.01.21  ,6,03:50:00,35.2
02.01.21  ,1,04:00:00,34.7
02.01.21  ,2,04:10:00,34.0
02.01.21  ,3,04:20:00,34.0
02.01.21  ,4,04:30:00,33.6
02.01.21  ,5,04:40:00,33.5
02.01.21  ,6,04:50:00,32.567
02.01.21  ,1,05:00:00,33.433
02.01.21  ,2,05:10:00,34.167
02.01.21  ,3,05:20:00,34.8
02.01.21  ,4,05:30:00,35.567
02.01.21  ,5,05:40:00,34.267
02.01.21  ,6,05:50:00,34.1
02.01.21  ,1,06:00:00,34.5
02.01.21  ,2,06:10:00,36.1
02.01.21  ,3,06:20:00,35.333
02.01.21  ,4,06:30:00,34.333
02.01.21  ,5,06:40:00,34.4
02.01.21  ,6,06:50:00,34.1
02.01.21  ,1,07:00:00,34.133
02.01.21  ,2,07:10:00,35.733
02.01.21  ,3,07:20:00,35.467
02.01.21  ,4,07:30:00,35.7
02.01.21  ,5,07:40:00,34.8
02.01.21  ,6,07:50:00,33.833
02.01.21  ,1,08:00:00,33.167
02.01.21  ,2,08:10:00,32.433
02.01.21  ,3,08:20:00,32.367
02.01.21  ,4,08:30:00,32.767
02.01.21  ,5,08:40:00,31.867
02.01.21  ,6,08:50:00,30.567
02.01.21  ,1,09:00:00,31.133
02.01.21  ,2,09:10:00,32.4
02.01.21  ,3,09:20:00,31.867
02.01.21  ,4,09:30:00,29.067
02.01.21  ,5,09:40:00,26.4
02.01.21  ,6,09:50:00,23.633
02.01.21  ,1,10:00:00,24.4
02.01.21  ,2,10:10:00,20.933
02.01.21  ,3,10:20:00,19.833
02.01.21  ,4,10:30:00,17.0
02.01.21  ,5,10:40:00,18.933
02.01.21  ,6,10:50:00,18.1
02.01.21  ,1,11:00:00,18.8
02.01.21  ,2,11:10:00,14.4
02.01.21  ,3,11:20:00,16.3
02.01.21  ,4,11:30:00,16.467
02.01.21  ,5,11:40:00,19.4
02.01.21  ,6,11:50:00,17.333
02.01.21  ,1,12:00:00,15.567
02.01.21  ,2,12:10:00,15.367
02.01.21  ,3,12:20:00,15.367
02.01.21  ,4,12:30:00,15.233
02.01.21  ,5,12:40:00,17.3
02.01.21  ,6,12:50:00,17.433
02.01.21  ,1,13:00:00,15.733
02.01.21  ,2,13:10:00,22.833
02.01.21  ,3,13:20:00,20.133
02.01.21  ,4,13:30:00,20.667
02.01.21  ,5,13:40:00,32.033
02.01.21  ,6,13:50:00,33.2
02.01.21  ,1,14:00:00,31.4
02.01.21  ,2,14:10:00,30.733
02.01.21  ,3,14:20:00,27.333
02.01.21  ,4,14:30:00,28.5
02.01.21  ,5,14:40:00,24.033
02.01.21  ,6,14:50:00,26.333
02.01.21  ,1,15:00:00,27.067
02.01.21  ,2,15:10:00,26.4
02.01.21  ,3,15:20:00,27.033
02.01.21  ,4,15:30:00,26.867
02.01.21  ,5,15:40:00,30.067
02.01.21  ,6,15:50:00,33.267
02.01.21  ,1,16:00:00,35.867
02.01.21  ,2,16:10:00,36.633
02.01.21  ,3,16:20:00,36.0
02.01.21  ,4,16:30:00,34.767
02.01.21  ,5,16:40:00,37.7
02.01.21  ,6,16:50:00,37.4
02.01.21  ,1,17:00:00,39.967
02.01.21  ,2,17:10:00,43.4
02.01.21  ,3,17:20:00,44.133
02.01.21  ,4,17:30:00,47.433
02.01.21  ,5,17:40:00,48.0
02.01.21  ,6,17:50:00,53.2
02.01.21  ,1,18:00:00,53.967
02.01.21  ,2,18:10:00,54.833
02.01.21  ,3,18:20:00,54.5
02.01.21  ,4,18:30:00,54.567
02.01.21  ,5,18:40:00,54.6
02.01.21  ,6,18:50:00,55.233
02.01.21  ,1,19:00:00,56.0
02.01.21  ,2,19:10:00,56.333
02.01.21  ,3,19:20:00,58.4
02.01.21  ,4,19:30:00,58.067
02.01.21  ,5,19:40:00,60.1
02.01.21  ,6,19:50:00,58.467
02.01.21  ,1,20:00:00,58.833
02.01.21  ,2,20:10:00,57.533
02.01.21  ,3,20:20:00,55.233
02.01.21  ,4,20:30:00,57.733
02.01.21  ,5,20:40:00,57.0
02.01.21  ,6,20:50:00,59.033
02.01.21  ,1,21:00:00,61.067
02.01.21  ,2,21:10:00,58.933
02.01.21  ,3,21:20:00,57.967
02.01.21  ,4,21:30:00,55.833
02.01.21  ,5,21:40:00,56.067
02.01.21  ,6,21:50:00,52.8
02.01.21  ,1,22:00:00,53.9
02.01.21  ,2,22:10:00,52.7
02.01.21  ,3,22:20:00,54.3
02.01.21  ,4,22:30:00,53.4
02.01.21  ,5,22:40:00,50.667
02.01.21  ,6,22:50:00,49.1
02.01.21  ,1,23:00:00,48.8
02.01.21  ,2,23:10:00,47.2
02.01.21  ,3,23:20:00,44.7
02.01.21  ,4,23:30:00,44.033
02.01.21  ,5,23:40:00,43.0
02.01.21  ,6,23:50:00,43.867
03.01.21  ,1,00:00:00,41.8
03.01.21  ,2,00:10:00,42.6
03.01.21  ,3,00:20:00,41.833
03.01.21  ,4,00:30:00,42.8
03.01.21  ,5,00:40:00,41.0
03.01.21  ,6,00:50:00,39.5
03.01.21  ,1,01:00:00,39.833
03.01.21  ,2,01:10:00,39.133
03.01.21  ,3,01:20:00,37.367
03.01.21  ,4,01:30:00,37.733
